Perceptron weight logging...
[ 0., 0., 0.] 
1: X: [ 5.1, 1.4], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
2: X: [ 5.2, 1.5], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
3: X: [ 5.2, 1.4], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
4: X: [ 4.7, 1.6], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
5: X: [ 4.8, 1.6], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
6: X: [ 5.4, 1.5], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
7: X: [ 5.2, 1.5], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
8: X: [ 5.5, 1.4], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
9: X: [ 4.9, 1.5], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
10: X: [ 5. , 1.2], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
11: X: [ 5.5, 1.3], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
12: X: [ 5. , 1.6], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
13: X: [ 4.4, 1.3], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
14: X: [ 5. , 1.3], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
15: X: [ 4.5, 1.3], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
16: X: [ 4.4, 1.3], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
17: X: [ 5. , 1.6], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
18: X: [ 5.1, 1.9], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
19: X: [ 4.8, 1.4], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
20: X: [ 5.1, 1.6], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
21: X: [ 4.6, 1.4], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
22: X: [ 5.3, 1.5], y: -1, pred: -1 w: [ 0., 0., 0.] errors: 0, update: 0.0, 
